problem_id,model,solution_file,status,score,tests_passed,execution_time,memory_usage
APIO-2023-contest-abc,DeepSeek-R1-Distill-Qwen-14B,abc_DeepSeek-R1-Distill-Qwen-14B_0.cpp,RUNTIME_ERROR,0,0.00%,0.020,5.46875
APIO-2023-contest-abc,DeepSeek-R1-Distill-Qwen-14B,abc_DeepSeek-R1-Distill-Qwen-14B_1.cpp,RUNTIME_ERROR,0,0.00%,0.120,6.99609375
APIO-2023-contest-abc,DeepSeek-R1-Distill-Qwen-14B,abc_DeepSeek-R1-Distill-Qwen-14B_2.cpp,RUNTIME_ERROR,0,0.00%,0.010,5.203125
APIO-2023-contest-abc,DeepSeek-R1-Distill-Qwen-14B,abc_DeepSeek-R1-Distill-Qwen-14B_3.cpp,RUNTIME_ERROR,0,0.00%,0.010,5.33984375
APIO-2023-contest-abc,DeepSeek-R1-Distill-Qwen-14B,abc_DeepSeek-R1-Distill-Qwen-14B_4.cpp,RUNTIME_ERROR,0,0.00%,0.070,5.578125
APIO-2023-contest-abc,DeepSeek-R1-Distill-Qwen-14B,abc_DeepSeek-R1-Distill-Qwen-14B_5.cpp,RUNTIME_ERROR,0,0.00%,0.020,5.0859375
APIO-2023-contest-abc,DeepSeek-R1-Distill-Qwen-14B,abc_DeepSeek-R1-Distill-Qwen-14B_6.cpp,RUNTIME_ERROR,0,0.00%,0.010,5.3359375
APIO-2023-contest-abc,DeepSeek-R1-Distill-Qwen-14B,abc_DeepSeek-R1-Distill-Qwen-14B_7.cpp,COMPILATION_ERROR,0,0.00%,0.000,0
APIO-2023-contest-cyberland,DeepSeek-R1-Distill-Qwen-14B,cyberland_DeepSeek-R1-Distill-Qwen-14B_0.cpp,RUNTIME_ERROR,0,1.22%,0.270,20.11328125
APIO-2023-contest-cyberland,DeepSeek-R1-Distill-Qwen-14B,cyberland_DeepSeek-R1-Distill-Qwen-14B_1.cpp,RUNTIME_ERROR,97,82.93%,1.800,59.30078125
APIO-2023-contest-cyberland,DeepSeek-R1-Distill-Qwen-14B,cyberland_DeepSeek-R1-Distill-Qwen-14B_2.cpp,RUNTIME_ERROR,5,4.88%,0.700,18.05078125
APIO-2023-contest-cyberland,DeepSeek-R1-Distill-Qwen-14B,cyberland_DeepSeek-R1-Distill-Qwen-14B_3.cpp,RUNTIME_ERROR,20,23.17%,0.740,35.06640625
APIO-2023-contest-cyberland,DeepSeek-R1-Distill-Qwen-14B,cyberland_DeepSeek-R1-Distill-Qwen-14B_4.cpp,COMPILATION_ERROR,0,0.00%,0.000,0
APIO-2023-contest-cyberland,DeepSeek-R1-Distill-Qwen-14B,cyberland_DeepSeek-R1-Distill-Qwen-14B_5.cpp,RUNTIME_ERROR,5,4.88%,0.510,21.40234375
APIO-2023-contest-cyberland,DeepSeek-R1-Distill-Qwen-14B,cyberland_DeepSeek-R1-Distill-Qwen-14B_6.cpp,RUNTIME_ERROR,20,23.17%,0.710,21.91796875
APIO-2023-contest-cyberland,DeepSeek-R1-Distill-Qwen-14B,cyberland_DeepSeek-R1-Distill-Qwen-14B_7.cpp,RUNTIME_ERROR,5,4.88%,0.220,13.15234375
APIO-2023-contest-sequence,DeepSeek-R1-Distill-Qwen-14B,sequence_DeepSeek-R1-Distill-Qwen-14B_0.cpp,TIME_LIMIT_EXCEEDED,0,0.00%,1.800,4.6328125
APIO-2023-contest-sequence,DeepSeek-R1-Distill-Qwen-14B,sequence_DeepSeek-R1-Distill-Qwen-14B_1.cpp,COMPILATION_ERROR,0,0.00%,0.000,0
APIO-2023-contest-sequence,DeepSeek-R1-Distill-Qwen-14B,sequence_DeepSeek-R1-Distill-Qwen-14B_2.cpp,COMPILATION_ERROR,0,0.00%,0.000,0
APIO-2023-contest-sequence,DeepSeek-R1-Distill-Qwen-14B,sequence_DeepSeek-R1-Distill-Qwen-14B_3.cpp,COMPILATION_ERROR,0,0.00%,0.000,0
APIO-2023-contest-sequence,DeepSeek-R1-Distill-Qwen-14B,sequence_DeepSeek-R1-Distill-Qwen-14B_4.cpp,MEMORY_LIMIT_EXCEEDED,0,0.00%,0.020,4.63671875
APIO-2023-contest-sequence,DeepSeek-R1-Distill-Qwen-14B,sequence_DeepSeek-R1-Distill-Qwen-14B_5.cpp,COMPILATION_ERROR,0,0.00%,0.000,0
APIO-2023-contest-sequence,DeepSeek-R1-Distill-Qwen-14B,sequence_DeepSeek-R1-Distill-Qwen-14B_6.cpp,RUNTIME_ERROR,0,2.47%,0.110,46.78515625
APIO-2023-contest-sequence,DeepSeek-R1-Distill-Qwen-14B,sequence_DeepSeek-R1-Distill-Qwen-14B_7.cpp,TIME_LIMIT_EXCEEDED,0,0.00%,1.800,8.43359375
APIO-2024-contest-september,DeepSeek-R1-Distill-Qwen-14B,september_DeepSeek-R1-Distill-Qwen-14B_0.cpp,TIME_LIMIT_EXCEEDED,0,0.00%,1.180,6.52734375
APIO-2024-contest-september,DeepSeek-R1-Distill-Qwen-14B,september_DeepSeek-R1-Distill-Qwen-14B_1.cpp,RUNTIME_ERROR,0,0.00%,0.450,18.046875
APIO-2024-contest-september,DeepSeek-R1-Distill-Qwen-14B,september_DeepSeek-R1-Distill-Qwen-14B_2.cpp,COMPILATION_ERROR,0,0.00%,0.000,0
