solution,status,score,relative_score,%test passed,time,memory,subtask_0,subtask_1,subtask_2
eurokod_Qwen3-8B_0.cpp,ACCEPTED,50,100.00%,100.00%,0.000,0,17,19,14
eurokod_Qwen3-8B_1.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0
eurokod_Qwen3-8B_1.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0
eurokod_Qwen3-8B_1.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0
eurokod_Qwen3-8B_1.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0
eurokod_Qwen3-8B_1.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0
eurokod_Qwen3-8B_2.cpp,ACCEPTED,50,100.00%,100.00%,0.000,0,17,19,14
eurokod_Qwen3-8B_3.cpp,ACCEPTED,50,100.00%,100.00%,0.000,0,17,19,14
eurokod_Qwen3-8B_5.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0
eurokod_Qwen3-8B_7.cpp,ACCEPTED,50,100.00%,100.00%,0.060,0,17,19,14
