problem_id,model,solution_file,status,score,relative_score,tests_passed,execution_time,memory_usage
APIO-2023-contest-abc,Qwen3-8B-Non-Thinking,abc_Qwen3-8B-Non-Thinking_1.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
APIO-2023-contest-abc,Qwen3-8B-Non-Thinking,abc_Qwen3-8B-Non-Thinking_2.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
APIO-2023-contest-abc,Qwen3-8B-Non-Thinking,abc_Qwen3-8B-Non-Thinking_3.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
APIO-2023-contest-abc,Qwen3-8B-Non-Thinking,abc_Qwen3-8B-Non-Thinking_7.cpp,RUNTIME_ERROR,0,0.00%,0.00%,0.280,242.96484375
APIO-2023-contest-cyberland,Qwen3-8B-Non-Thinking,cyberland_Qwen3-8B-Non-Thinking_0.cpp,MEMORY_LIMIT_EXCEEDED,15,15.00%,20.73%,1.140,2435.04296875
APIO-2023-contest-cyberland,Qwen3-8B-Non-Thinking,cyberland_Qwen3-8B-Non-Thinking_1.cpp,TIME_LIMIT_EXCEEDED,20,20.00%,23.17%,3.010,508.4296875
APIO-2023-contest-cyberland,Qwen3-8B-Non-Thinking,cyberland_Qwen3-8B-Non-Thinking_2.cpp,UNKNOWN,0,0.00%,0.00%,0.000,0
APIO-2023-contest-cyberland,Qwen3-8B-Non-Thinking,cyberland_Qwen3-8B-Non-Thinking_3.cpp,TIME_LIMIT_EXCEEDED,15,15.00%,19.51%,2.990,2437.62109375
APIO-2023-contest-cyberland,Qwen3-8B-Non-Thinking,cyberland_Qwen3-8B-Non-Thinking_4.cpp,UNKNOWN,0,0.00%,0.00%,0.000,0
APIO-2023-contest-cyberland,Qwen3-8B-Non-Thinking,cyberland_Qwen3-8B-Non-Thinking_5.cpp,TIME_LIMIT_EXCEEDED,0,0.00%,1.22%,3.020,2228.79296875
APIO-2023-contest-cyberland,Qwen3-8B-Non-Thinking,cyberland_Qwen3-8B-Non-Thinking_6.cpp,MEMORY_LIMIT_EXCEEDED,15,15.00%,20.73%,1.050,2435.81640625
APIO-2023-contest-cyberland,Qwen3-8B-Non-Thinking,cyberland_Qwen3-8B-Non-Thinking_7.cpp,UNKNOWN,0,0.00%,0.00%,0.000,0
APIO-2023-contest-sequence,Qwen3-8B-Non-Thinking,sequence_Qwen3-8B-Non-Thinking_0.cpp,TIME_LIMIT_EXCEEDED,11,11.00%,44.92%,1.900,58.15625
